campaña,anio_inicio,pp_total_mm,pp_siembra_mm,pp_floracion_mm,pp_llenado_mm,tmed_campaña,tmax_floracion,tmin_llenado,rinde_kgha,anomalia_pp,ratio_pp_floracion,estres_termico,rinde_qqha,tendencia,oni_campaña,enso_tipo
2000/01,2000,683.20793,239.61406,188.29891,255.29166,19.064722,36.340499,8.423646,1595.4601000000002,108.31925666666666,0.2756099596209312,27.916853000000003,15.954601000000002,0,-0.63,La Niña
2001/02,2001,778.54763,313.73625,149.70206,315.11701,18.686154,34.473654,8.022407,1781.6071000000004,203.65895666666665,0.1922837527615362,26.451247,17.816071000000004,1,-0.14,Neutro
2002/03,2002,649.98883,315.69502,140.41044,193.89927,19.332008,35.133592,7.716967,1775.885,75.10015666666663,0.216019773755189,27.416625,17.75885,2,0.88,El Niño
2003/04,2003,527.52486,233.8815,179.66757,113.97778,19.605479,36.144061,10.097948,1679.2649999999996,-47.36381333333338,0.3405859773129934,26.046113,16.792649999999995,3,0.32,Neutro
2004/05,2004,594.52783,166.18872,209.37976,218.96562,19.125134,35.745627,7.265382,2111.2299,19.639156666666626,0.3521782319256611,28.480245,21.112299,4,0.6,El Niño
2005/06,2005,518.60262,135.79593,210.94102,171.87665,18.75767,35.54478,8.01165,1926.3724999999995,-56.28605333333337,0.4067488513652322,27.533130000000003,19.263724999999997,5,-0.72,La Niña
2006/07,2006,662.58412,198.27834,197.08801,267.2151,19.762089,35.452073,8.729084,2028.331,87.69544666666661,0.2974535671032985,26.722989,20.28331,6,0.53,El Niño
2007/08,2007,508.24779,150.62012,121.38013,236.24161,19.441264,37.360755,9.279151,1854.3706,-66.64088333333336,0.2388207728360215,28.081604,18.543706,7,-1.51,La Niña
2008/09,2008,337.34584,123.16668,75.06786,139.13614,21.067369,37.658974,10.094935,953.9148,-237.54283333333336,0.2225249316843509,27.564039,9.539148,8,-0.71,La Niña
2009/10,2009,662.5904400000001,160.58499,208.25674,293.75474,19.317862,34.640727,7.174574,2192.3708999999994,87.70176666666669,0.3143068891848183,27.466153,21.923708999999995,9,1.3,El Niño
2010/11,2010,511.81236,147.64733,235.44725,128.72643,19.279449,36.718184,7.168199,1938.6862000000008,-63.07631333333336,0.4600265026815687,29.549985,19.386862000000004,10,-1.27,La Niña
2011/12,2011,592.94476,186.98434,143.64036000000002,262.32276,19.781596,37.854844,7.99394,2034.1720999999995,18.0560866666666,0.2422491430736313,29.860904,20.341721,11,-0.74,La Niña
2012/13,2012,649.66441,252.89758,243.86092,152.9102,18.848404,34.114748,6.583991,2078.8452999999995,74.7757366666666,0.3753644439288278,27.530757,20.788452999999997,12,-0.15,Neutro
2013/14,2013,561.7886100000001,165.99403,163.27588,232.5245,19.863089,40.011183,7.126761,1918.7358000000008,-13.10006333333331,0.2906357962650755,32.884422,19.187358000000007,13,-0.2,Neutro
2014/15,2014,557.0314,266.86925,170.41067,119.77019,19.409749,34.265392,8.596929,2247.1083,-17.85727333333341,0.3059265061179675,25.668463,22.471083,14,0.69,El Niño
2015/16,2015,563.67999,189.58165,169.64232,204.4738,18.90744,36.208587,8.690034,2534.8307,-11.208683333333395,0.3009550152738259,27.518553,25.348307,15,2.4,El Niño
2016/17,2016,608.06334,147.9231,179.56001,280.59434,19.807936,37.564394,8.892659,2356.2536000000005,33.17466666666667,0.2952982003486676,28.671735,23.562536000000005,16,-0.22,Neutro
2017/18,2017,414.2326,160.6845,147.82243,105.72687,19.334128,36.71556,7.51264,1764.3129999999992,-160.65607333333338,0.3568585137915268,29.20292,17.643129999999992,17,-0.74,La Niña
2018/19,2018,599.68681,194.52206,265.09793,140.07818,18.725482,34.941904,6.700775,2343.8429,24.798136666666664,0.4420606316153593,28.241129,23.438429,18,0.9,El Niño
2019/20,2019,541.5817000000001,151.26283,163.66962,226.65788,19.591181,36.233078,9.081678,2141.3214000000007,-33.3069733333333,0.3022067030699153,27.1514,21.413214000000007,19,0.61,El Niño
2020/21,2020,540.06895,162.15172,184.19079,193.74119,19.41294,36.805509,8.317329,2044.1158,-34.8197233333334,0.3410505084582255,28.48818,20.441158,20,-0.94,La Niña
2021/22,2021,554.68163,132.8597,191.3543,230.45558,19.497437,39.960794,6.396603,2012.8911,-20.20704333333333,0.3449804169645928,33.564191,20.128911,21,-0.85,La Niña
2022/23,2022,465.95051,144.25994,136.0204,185.68479,21.073797,37.083893,6.871815,1857.4502000000005,-108.93816333333336,0.2919202728203903,30.212078000000005,18.57450200000001,22,-0.48,Neutro
2023/24,2023,712.9732,160.36644,250.29965,302.31847,19.671542,35.119867,8.273774,2274.8598999999995,138.08452666666665,0.3510645982205221,26.846093,22.748598999999995,23,1.77,El Niño
