nombre_adr,r2,mae_kgha
ARECO,0.26,436.0
AYACUCHO,0.14,306.0
AZUL,-0.043,297.0
BALCARCE,0.195,197.0
BENITO JUÁREZ,0.37,212.0
BOLÍVAR,-0.221,427.0
CARHUE,0.198,461.0
CHACABUCO,0.603,374.0
CHASCOMUS,0.35,353.0
CORONEL PRINGLES,0.046,341.0
CORONEL SUÁREZ,-0.191,458.0
GENERAL BELGRANO,0.381,345.0
GENERAL MADARIAGA,0.315,263.0
GUAMINI,0.255,416.0
HENDERSON,0.094,375.0
JUAN N FERNANDEZ,-0.25,335.0
LOBOS,0.051,422.0
MAR DEL PLATA,-0.044,224.0
NECOCHEA,-0.342,332.0
OLAVARRIA,0.105,281.0
ORENSE,-0.24,376.0
PERGAMINO,0.483,324.0
PIGUE,-0.175,437.0
RAUCH,-0.205,380.0
ROQUE PEREZ,0.058,464.0
SAN CAYETANO,0.021,353.0
TANDIL,-0.009,185.0
TRES ARROYOS,-0.058,293.0
